Comment,±20ppm,Footprint,LCSC,
100nF,12PF,C_0805_2012Metric,,
Screw_Terminal_01x02,C1,TerminalBlock_Altech_AK300-2_P5.00mm,,
10nF,C10,C_0805_2012Metric,,
AP7343-33W5-7,C11,SOT95P285X145-5N,,
15k,C12,R_0805_2012Metric,,
10uH,C13,L_0805_2012Metric,,
9.1k,C14,R_0805_2012Metric,,
LED_GREEN,C15,LED_0805_2012Metric,,
15k,C16,R_0805_2012Metric,,
100nF,C17,C_0805_2012Metric,,
100nF,C18,C_0805_2012Metric,,
100m,C19,R_1206_3216Metric,,
10uF,C2,C_Radial_D5.0mm_H5.0mm_P2.00mm,,
USB_B,C20,USB_B_Lumberg_2411_02_Horizontal,,
100nF,C21,C_0805_2012Metric,,
5.1k,C22,R_0805_2012Metric,,
0ohm,C23,R_0805_2012Metric,,
100nF,C24,C_0805_2012Metric,,
100nF,C25,C_0805_2012Metric,,
5.1k,C26,R_0805_2012Metric,,
PINHD_1x6_Male,C27,PinHeader_1x06_P2.54mm_Vertical,,
100nF,C28,C_0402_1005Metric,,
1M,C29,R_0805_2012Metric,,
PINHD_1x2_Male,C3,PinHeader_1x02_P2.54mm_Vertical,,
10nF,C30,C_0805_2012Metric,,
18pF,C31,C_0402_1005Metric,,
8.2k,C32,R_0805_2012Metric,,
1M,C33,R_0805_2012Metric,,
PINHD_1x6_Male,C34,PinHeader_1x06_P2.54mm_Vertical,,
10uF,C4,C_Radial_D5.0mm_H5.0mm_P2.00mm,,
10k,C5,R_0805_2012Metric,,
5.1k,C6,R_0805_2012Metric,,
LED_RED,C7,LED_0805_2012Metric,,
PINHD_1x4_Male,C8,PinHeader_1x04_P2.54mm_Vertical,,
1M,C9,R_0805_2012Metric,,
18pF,D1,C_0402_1005Metric,,
10nF,D2,C_0805_2012Metric,,
PINHD_1x6_Male,D3,PinHeader_1x06_P2.54mm_Vertical,,
DRV8825PWP,D4,IC_TPS61196PWPRQ1,,
1uF,D5,C_0805_2012Metric,,
100nF,D6,C_0805_2012Metric,,
9.1k,Designator,R_0805_2012Metric,,
32.768KHz,DRV1,12.5pF,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm
1uF,DRV2,C_0805_2012Metric,,
LED_RED,DRV3,LED_0805_2012Metric,,
5.1k,DRV4,R_0805_2012Metric,,
9.1k,J1,R_0805_2012Metric,,
100nF,J2,C_0402_1005Metric,,
100m,J3,R_1206_3216Metric,,
5.1k,J4,R_0805_2012Metric,,
LED_RED,J5,LED_0805_2012Metric,,
100nF,J6,C_0805_2012Metric,,
PINHD_1x3_Male,J7,PinHeader_1x03_P2.54mm_Vertical,,
10uF,J8,C_Radial_D5.0mm_H5.0mm_P2.00mm,,
LED_RED,J9,LED_0805_2012Metric,,
100m,L1,R_1206_3216Metric,,
100nF,R1,C_0805_2012Metric,,
100nF,R10,C_0805_2012Metric,,
DRV8825PWP,R11,IC_TPS61196PWPRQ1,,
DRV8825PWP,R12,IC_TPS61196PWPRQ1,,
100nF,R13,C_0402_1005Metric,,
10nF,R14,C_0805_2012Metric,,
11k,R15,R_0805_2012Metric,,
15pF,R16,C_0402_1005Metric,,
2.2uF,R17,C_0805_2012Metric,,
LED_RED,R18,LED_0805_2012Metric,,
100m,R19,R_1206_3216Metric,,
100nF,R2,C_0805_2012Metric,,
100nF,R20,C_0805_2012Metric,,
5.1k,R21,R_0805_2012Metric,,
STM32F411RETx,R22,LQFP-64_10x10mm_P0.5mm,,
100m,R23,R_1206_3216Metric,,
100nF,R24,C_0805_2012Metric,,
15k,R25,R_0805_2012Metric,,
15k,R26,R_0805_2012Metric,,
100nF,R27,C_0805_2012Metric,,
1M,R28,R_0805_2012Metric,,
100m,R29,R_1206_3216Metric,,
25MHZ,R3,Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,
15pF,R30,C_0402_1005Metric,,
100nF,R31,C_0805_2012Metric,,
100m,R4,R_1206_3216Metric,,
9.1k,R5,R_0805_2012Metric,,
10uF,R6,C_Radial_D5.0mm_H5.0mm_P2.00mm,,
100m,R7,R_1206_3216Metric,,
CP2102-GMR,R8,VFQFN-28-1EP_5x5mm,,
DRV8825PWP,R9,IC_TPS61196PWPRQ1,,
10k,RV4,R_0805_2012Metric,,
PINHD_1x6_Male,U1,PinHeader_1x06_P2.54mm_Vertical,,
100nF,U6,C_0402_1005Metric,,
R_Potentiometer,U7,3386P1473LF,,
