Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,83.5,-68.25,-90.0,top
C2,100nF,C_0805_2012Metric,80.5,-71.387,180.0,top
C3,100nF,C_0805_2012Metric,84.0,-73.5,0.0,top
C4,100nF,C_0805_2012Metric,101.0,-72.2,-90.0,top
C5,10nF,C_0805_2012Metric,89.662,-102.616,0.0,top
C6,18pF,C_0402_1005Metric,93.5,-80.75,-90.0,top
C7,15pF,C_0402_1005Metric,90.5,-80.75,90.0,top
C8,100nF,C_0805_2012Metric,102.616,-65.278,90.0,top
C9,18pF,C_0402_1005Metric,92.5,-80.75,-90.0,top
C10,15pF,C_0402_1005Metric,91.5,-80.75,-90.0,top
C11,100nF,C_0402_1005Metric,90.424,-100.838,180.0,top
C12,100nF,C_0805_2012Metric,100.584,-65.278,90.0,top
C13,100nF,C_0805_2012Metric,89.181,-61.637,180.0,top
C14,100nF,C_0805_2012Metric,95.0,-83.7,-90.0,top
C15,10nF,C_0805_2012Metric,73.152,-102.616,0.0,top
C16,100nF,C_0402_1005Metric,73.914,-100.838,180.0,top
C17,1uF,C_0805_2012Metric,80.5,-73.387,0.0,top
C19,2.2uF,C_0805_2012Metric,103.0,-72.2,-90.0,top
C20,100nF,C_0805_2012Metric,91.694,-90.17,0.0,top
C21,100nF,C_0805_2012Metric,91.694,-92.202,0.0,top
C23,100nF,C_0805_2012Metric,75.184,-90.17,0.0,top
C24,100nF,C_0805_2012Metric,75.184,-92.202,0.0,top
C25,10nF,C_0805_2012Metric,122.682,-102.616,0.0,top
C26,10nF,C_0805_2012Metric,106.172,-102.597854,0.0,top
C27,100nF,C_0402_1005Metric,123.444,-100.838,180.0,top
C28,100nF,C_0402_1005Metric,106.913468,-100.838,180.0,top
C31,100nF,C_0805_2012Metric,124.714,-90.17,0.0,top
C32,100nF,C_0805_2012Metric,108.183468,-90.17,0.0,top
C33,100nF,C_0805_2012Metric,124.714,-92.202,0.0,top
C34,100nF,C_0805_2012Metric,108.183468,-92.202,0.0,top
D1,LED_GREEN,LED_0805_2012Metric,89.0,-78.0,-90.0,top
D2,LED_RED,LED_0805_2012Metric,89.0,-85.0,-90.0,top
D3,LED_RED,LED_0805_2012Metric,78.74,-101.854,90.0,top
D4,LED_RED,LED_0805_2012Metric,62.23,-101.693,90.0,top
D5,LED_RED,LED_0805_2012Metric,111.76,-101.854,90.0,top
D6,LED_RED,LED_0805_2012Metric,95.229468,-101.854,90.0,top
DRV1,DRV8825PWP,IC_TPS61196PWPRQ1,67.564,-98.298,180.0,top
DRV2,DRV8825PWP,IC_TPS61196PWPRQ1,84.074,-98.298,180.0,top
DRV3,DRV8825PWP,IC_TPS61196PWPRQ1,100.584,-98.298,180.0,top
DRV4,DRV8825PWP,IC_TPS61196PWPRQ1,117.108189,-98.298,180.0,top
L1,10uH,L_0805_2012Metric,101.854,-74.75,180.0,top
R1,10k,R_0805_2012Metric,101.75,-69.5,180.0,top
R2,10k,R_0805_2012Metric,84.0,-71.35,180.0,top
R3,5.1k,R_0805_2012Metric,91.0,-83.6625,90.0,top
R5,15k,R_0805_2012Metric,88.9,-93.218,90.0,top
R6,8.2k,R_0805_2012Metric,80.5,-55.11,0.0,top
R7,15k,R_0805_2012Metric,72.39,-93.218,90.0,top
R8,5.1k,R_0805_2012Metric,89.0,-81.5,-90.0,top
R9,11k,R_0805_2012Metric,80.54905,-57.116423,0.0,top
R10,15k,R_0805_2012Metric,121.92,-93.218,90.0,top
R11,9.1k,R_0805_2012Metric,124.714,-94.234,180.0,top
R12,9.1k,R_0805_2012Metric,91.694,-94.234,180.0,top
R13,100m,R_1206_3216Metric,90.678,-98.806,0.0,top
R14,100m,R_1206_3216Metric,90.678,-96.52,0.0,top
R15,100m,R_1206_3216Metric,74.168,-98.806,0.0,top
R16,100m,R_1206_3216Metric,74.168,-96.52,0.0,top
R17,1M,R_0805_2012Metric,75.946,-101.854,90.0,top
R18,1M,R_0805_2012Metric,92.456,-101.854,90.0,top
R19,5.1k,R_0805_2012Metric,78.74,-98.298,-90.0,top
R20,5.1k,R_0805_2012Metric,62.23,-98.298,-90.0,top
R21,9.1k,R_0805_2012Metric,75.184,-94.234,180.0,top
R22,15k,R_0805_2012Metric,105.389468,-93.218,90.0,top
R23,9.1k,R_0805_2012Metric,108.183468,-94.234,180.0,top
R24,100m,R_1206_3216Metric,123.698,-98.806,0.0,top
R25,100m,R_1206_3216Metric,123.698,-96.52,0.0,top
R26,100m,R_1206_3216Metric,107.167468,-98.806,0.0,top
R27,100m,R_1206_3216Metric,107.167468,-96.52,0.0,top
R28,1M,R_0805_2012Metric,125.476,-101.854,90.0,top
R29,1M,R_0805_2012Metric,108.945468,-101.854,90.0,top
R30,5.1k,R_0805_2012Metric,111.76,-98.298,-90.0,top
R31,5.1k,R_0805_2012Metric,95.229468,-98.298,-90.0,top
U1,STM32F411RETx,LQFP-64_10x10mm_P0.5mm,92.75,-69.5,90.0,top
U6,AP7343-33W5-7,SOT95P285X145-5N,80.5,-68.0,-90.0,top
U7,CP2102-GMR,VFQFN-28-1EP_5x5mm,82.742,-61.35,-90.0,top
Y1,32.768KHz ±20ppm 12.5pF,Crystal_SMD_3215-2Pin_3.2x1.5mm,92.0,-78.5,0.0,top
Y2,25MHZ 12PF,Crystal_SMD_3225-4Pin_3.2x2.5mm,95.75,-78.85,-90.0,top
